general rules,,
0: preprocess: remove ignore patterns,,

how to process,title,url
1. match off&coupon 2. match brand/product,HP Coupon - 25% off a customized HP Pavilion Laptop configured at $999 or greater.,http://www.shopping-bargains.com/coupons/coupon/id/267359?rss=20101018&kid=4758402
1. match off&coupon 2. match store,Gettington Coupon - 10% off $75+ orders online.,http://www.shopping-bargains.com/coupons/coupon/id/267356?rss=20101018&kid=4758402
1. match off&coupon 2. match store,eBay Coupon - 20% off Entire ShoeMall Store.,http://www.shopping-bargains.com/coupons/coupon/id/265823?rss=20101018&kid=4758402
1. match off&coupon 2. match store,Duncraft Coupon - 20% off Duncraft Edibles.,http://www.shopping-bargains.com/coupons/coupon/id/267373?rss=20101018&kid=4758402
1. match off&coupon 2. match store,Chadwick's Coupon - $30 off $90+ orders online with orders online of 2+ items.,http://www.shopping-bargains.com/coupons/coupon/id/267348?rss=20101018&kid=4758402
1. match off&coupon 2. match store 3. match brand 4. freeshipping,Ashford Coupon - Bulova Women's Diamonds Watch (96R56) $129 + FREE Shipping.,http://www.shopping-bargains.com/coupons/coupon/id/267377?rss=20101018&kid=4758402
1. match off&coupon 2. match store: dell fin. Svc. Vs dell?,30% off refurbished & off-lease monitors at Dell Financial Services,"http://dealcoupon.com/lw/coupon.html?10,133424,iref=rss_dealcoupon_15_new"
,$50 off Nikon COOLPIX S1000pj 12.1MP 5X zoom digital camera at Dell Small Business,"http://dealcoupon.com/lw/coupon.html?10,133431,iref=rss_dealcoupon_15_new"
,20% off refurbished & off-lease laptops & desktops at Dell Financial Services,"http://dealcoupon.com/lw/coupon.html?10,133433,iref=rss_dealcoupon_15_new"
,$30 off Dell 1130 Mono Laser Printer at Dell Small Business,"http://dealcoupon.com/lw/coupon.html?10,133435,iref=rss_dealcoupon_15_new"
,$100 off Dell M210X Projector w/ 2-year warranty at Dell Small Business,"http://dealcoupon.com/lw/coupon.html?10,133437,iref=rss_dealcoupon_15_new"
,Free shipping no min coupon at Levi,"http://dealcoupon.com/lw/coupon.html?10,133445,iref=rss_dealcoupon_15_new"
,Apple iWork '06 for Mac for $25 + $10 s&h,http://dealmac.com/Apple-i-Work-06-for-Mac-for-25-10-s-h/396778.html?iref=rss_dealmac_today
,"iPhone app price drops: Trainyard, iShred: Guitar + Effects, more",http://dealmac.com/i-Phone-app-price-drops-Trainyard-i-Shred-Guitar-Effects-more/396812.html?iref=rss_dealmac_today
,Fathead Clearance Sale: Up to 94% off,http://dealnews.com/Fathead-Clearance-Sale-Up-to-94-off/396786.html?iref=rss_dealnews_today
, Batik Bay Men's Guayabera Button-Front Shirt for $7 + $1 s&h,http://dealnews.com/-Batik-Bay-Mens-Guayabera-Button-Front-Shirt-for-7-1-s-h/396789.html?iref=rss_dealnews_today
,Refurbished Brother MFC-5890CN All-in-One Color Printer for $69 + $20 s&h,http://dealnews.com/Refurbished-Brother-MFC-5890-CN-All-in-One-Color-Printer-for-69-20-s-h/396750.html?iref=rss_dealnews_today
,Refurbished Pair of Sony 120W Bookshelf Speakers for $55 + $20 s&h,http://dealnews.com/Refurbished-Pair-of-Sony-120-W-Bookshelf-Speakers-for-55-20-s-h/396760.html?iref=rss_dealnews_today
,WD TV Live Plus 1080p HD Media Player for $100 + free shipping,http://dealnews.com/WD-TV-Live-Plus-1080-p-HD-Media-Player-for-100-free-shipping/396790.html?iref=rss_dealnews_today
,HornetTek 802.11n Wireless MIMO USB Adapter for $25 + free shipping,http://dealnews.com/Hornet-Tek-802.11-n-Wireless-MIMO-USB-Adapter-for-25-free-shipping/396791.html?iref=rss_dealnews_today
," Kustom 10"" Powered PA Speaker for $80 + free shipping",http://dealnews.com/-Kustom-10-Powered-PA-Speaker-for-80-free-shipping/396647.html?iref=rss_dealnews_today
